trial_num,stimulus,prev_stimulus,is_target,response,response_key,correct,rt,timestamp
1,2,N/A,False,N/A,N/A,True,,2026-04-22T19:23:53.134983
2,5,2,False,N/A,N/A,False,,2026-04-22T19:23:55.918481
3,9,5,False,N/A,N/A,False,,2026-04-22T19:23:58.731927
4,9,9,True,N/A,N/A,False,,2026-04-22T19:24:01.694259
5,9,9,True,N/A,N/A,False,,2026-04-22T19:24:04.256143
6,7,9,False,N/A,N/A,False,,2026-04-22T19:24:07.245103
7,7,7,True,N/A,N/A,False,,2026-04-22T19:24:10.220944
8,5,7,False,N/A,N/A,False,,2026-04-22T19:24:13.052820
9,8,5,False,N/A,N/A,False,,2026-04-22T19:24:15.650074
10,8,8,True,N/A,N/A,False,,2026-04-22T19:24:18.291823
11,2,8,False,N/A,N/A,False,,2026-04-22T19:24:21.153014
