session_id,participant_id,condition,task_type,nback_enabled,plan_id,event_name,event_position,emit_trial_number,response_source,expected_response,cue_onset_ms,next_cue_onset_ms,response_onset_ms,response_rt_ms,first_response_onset_ms,first_response_rt_ms,correct_response_onset_ms,correct_response_rt_ms,first_response,first_response_correct,was_corrected,correction_time_ms,eventual_correct,response_sequence_complete,response_end_ms,full_cycle_ms,response_quality,response_quality_reason,cycle_quality,cycle_quality_reason,trial_quality,quality_reason,detector_version,first_wrist_direction,correct_wrist_direction,neutral_return_ms,neutral_return_completion_ms,lr_score_at_onset,ud_score_at_onset,old_lr_class_at_onset,old_ud_class_at_onset,offline_lr_class_at_onset,offline_ud_class_at_onset,online_gate_passed,old_lr_neutral_lower,old_lr_neutral_upper,old_lr_zero_in_neutral_region,old_ud_neutral_lower,old_ud_neutral_upper,old_ud_zero_in_neutral_region,offline_neutral_centered_gate_passed,lr_neutral_centered_sanity_passed,ud_neutral_centered_sanity_passed,pre_existing_response_at_cue,pinch_reference_quality_passed,pinch_reference_quality_reason,contact_reference_available,pre_cue_pinch_state,post_cue_target_state,baseline_pinch_distance,distance_to_open,distance_to_contact,distance_to_pinch,baseline_reference_position,entered_open_reference,entered_contact_reference,entered_pinch_reference,open_reference_onset_ms,contact_reference_onset_ms,pinch_reference_onset_ms,baseline_closure,baseline_closure_mad,baseline_stability,pinch_onset_ms,pinch_rt_ms,pinch_detected,peak_closure,peak_closure_delta,peak_time_ms,release_onset_ms,release_completion_ms,release_drop,release_detected,return_to_precue_baseline_ms,return_to_precue_baseline_completion_ms,returned_to_precue_baseline
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,dual,True,only-motor-1,right,4,20,wrist,right,9189281.0,9204906.0,9191687.0,2406.0,9191687.0,2406.0,9191687.0,2406.0,right,True,False,,True,,9192578.0,3297.0,clean,,complete,,clean,,pilot_v0.3,right,right,9192421.0,9192578.0,0.09563497287011888,-0.11931346114597825,neutral,neutral,neutral,neutral,True,-0.27727555582072416,0.17015192061001527,True,-0.25721032456612414,0.07395924254792877,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,dual,True,only-motor-1,left,5,27,wrist,left,9204906.0,9221265.0,9207546.0,2640.0,9207546.0,2640.0,9207546.0,2640.0,left,True,False,,True,,9208218.0,3312.0,clean,,complete,,clean,,pilot_v0.3,left,left,9208062.0,9208218.0,0.08136773191998314,-0.0703959694031524,neutral,neutral,neutral,neutral,True,-0.27727555582072416,0.17015192061001527,True,-0.25721032456612414,0.07395924254792877,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,dual,True,only-motor-1,left,6,34,wrist,left,9221265.0,9234937.0,,,9224203.0,2938.0,,,right,False,False,,False,,,,contaminated,no_correct_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_correct_wrist_action_before_next_cue,pilot_v0.3,right,,,,-0.08447443081319386,-0.12106641283111455,neutral,neutral,neutral,neutral,True,-0.27727555582072416,0.17015192061001527,True,-0.25721032456612414,0.07395924254792877,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,dual,True,only-motor-1,release,7,40,pinch,contact_to_open,9234937.0,,9237781.0,2844.0,9237328.0,2391.0,9237781.0,2844.0,closing,False,True,2844.0,True,True,9238375.0,3438.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,contact,open,0.05796531879481766,0.08530867181313788,0.0014111944537640517,0.04741730988667954,0.9837269761300053,True,False,,9238218.0,,,,,1.6129003299624606e-05,,,,,,,,,,,,,
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,dual,True,only-motor-2,contact,1,1,pinch,open_to_contact,9356531.0,9367500.0,9357375.0,844.0,9357375.0,844.0,9357375.0,844.0,closing,True,False,,True,True,9357687.0,1156.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,open,contact,0.12290609159049362,0.021484736958275352,0.06103249458821808,0.0888898410475546,0.26036667197408353,False,True,,,9357531.0,,,,8.400092990128172e-06,,,,,,,,,,,,,
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,dual,True,only-motor-2,down,2,6,wrist,down,9367500.0,9382218.0,,,,,,,,,False,,,,,,contaminated,no_stable_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_stable_wrist_action_before_next_cue,pilot_v0.3,,,,,0.06634612517778563,-0.07153516472715801,neutral,neutral,neutral,neutral,True,-0.3089268507469425,0.09483136971897818,True,-0.2637845331975993,0.04659705893891228,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,dual,True,only-motor-2,right,3,13,wrist,right,9382218.0,9397609.0,9384421.0,2203.0,9384421.0,2203.0,9384421.0,2203.0,right,True,False,,True,,9385234.0,3016.0,clean,,complete,,clean,,pilot_v0.3,right,right,9385078.0,9385234.0,0.06553543000857852,-0.0826621903315746,neutral,neutral,neutral,neutral,True,-0.3089268507469425,0.09483136971897818,True,-0.2637845331975993,0.04659705893891228,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,dual,True,only-motor-2,left,4,20,wrist,left,9397609.0,9412984.0,9399656.0,2047.0,9399656.0,2047.0,9399656.0,2047.0,left,True,False,,True,,9400250.0,2641.0,clean,,complete,,clean,,pilot_v0.3,left,left,9400093.0,9400250.0,0.03493677236767667,-0.12002964584702756,neutral,neutral,neutral,neutral,True,-0.3089268507469425,0.09483136971897818,True,-0.2637845331975993,0.04659705893891228,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,dual,True,only-motor-2,up,5,27,wrist,up,9412984.0,9428578.0,,,9415984.0,3000.0,,,left,False,False,,False,,,,contaminated,no_correct_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_correct_wrist_action_before_next_cue,pilot_v0.3,left,,,,-0.09415425224741539,-0.19308658023932646,neutral,neutral,neutral,neutral,True,-0.3089268507469425,0.09483136971897818,True,-0.2637845331975993,0.04659705893891228,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,dual,True,only-motor-2,down,6,34,wrist,down,9428578.0,9441875.0,9430921.0,2343.0,9430921.0,2343.0,9430921.0,2343.0,down,True,False,,True,,9431765.0,3187.0,clean,,complete,,clean,,pilot_v0.3,down,down,9431609.0,9431765.0,-0.0934132073937054,-0.1991108931201203,neutral,neutral,neutral,neutral,True,-0.3089268507469425,0.09483136971897818,True,-0.2637845331975993,0.04659705893891228,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
