session_id,participant_id,condition,plan_id,event_name,event_position,emit_trial_number,cue_onset_ms,next_cue_onset_ms,response_source,analysis_axis,expected_excursion_direction,baseline_center,baseline_mad,excursion_threshold,pre_cue_value,value_at_onset,first_excursion_direction,first_excursion_onset_ms,first_excursion_rt_ms,first_excursion_peak_value,first_excursion_peak_delta,first_excursion_peak_ms,first_excursion_duration_ms,expected_excursion_detected,expected_excursion_onset_ms,expected_excursion_rt_ms,reversal_detected,reversal_direction,reversal_onset_ms,reversal_rt_ms,overshoot_peak_value,overshoot_peak_delta,overshoot_peak_ms,first_stable_direction,first_stable_rt_ms,stable_matches_first_excursion,response_quality,cycle_quality,quality_reason,detector_version
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,only-motor-1,left,5,27,9204906.0,9221265.0,wrist,lr,left,0.08096823236471888,0.00019543941221985411,0.12223648214956517,0.08151321871932152,0.08136773191998314,left,9207421.0,2515.0,0.5559071952041703,0.4749389628394514,9207734.0,329.0,True,9207421.0,2515.0,True,right,9207750.0,2844.0,-0.5651692331297085,0.6461374654944273,9207781.0,left,2640.0,True,clean,complete,,pilot_v0.3
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,only-motor-1,left,6,34,9221265.0,9234937.0,wrist,lr,left,-0.08402816465388496,0.00022517122177495574,0.14304922273387374,-0.08416062005299609,-0.08447443081319386,left,9223984.0,2719.0,0.39525252733713834,0.4792806919910233,9224187.0,219.0,True,9223984.0,2719.0,True,right,9224203.0,2938.0,-0.5515606681971115,0.4675325035432265,9224390.0,right,2938.0,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.3
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,only-motor-1,release,7,40,9234937.0,,pinch,pinch_closure,release,0.6453580457973702,0.00012016810852044646,0.07092839084052596,0.6449553996367287,0.644963575251448,release,9237859.0,2922.0,0.25862721029712693,0.3867308355002433,9238828.0,,True,9237859.0,2922.0,False,,,,,,,pinch,2391.0,False,clean,complete,,pilot_v0.3
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,only-motor-2,contact,1,1,9356531.0,9367500.0,pinch,pinch_closure,pinch,0.19712706919513448,7.514021955695727e-05,0.05,0.19692243071335055,0.19699723752941015,pinch,9357421.0,890.0,0.787843052578064,0.5907159833829295,9358187.0,,True,9357421.0,890.0,False,,,,,,,pinch,844.0,True,clean,complete,,pilot_v0.3
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,only-motor-2,down,2,6,9367500.0,9382218.0,wrist,ud,down,-0.07187942917898335,0.00012385223150022245,0.0961176691220985,-0.07199461337390609,-0.07153516472715801,,,,,,,,False,,,,,,,,,,,,,contaminated,not_applicable,no_stable_wrist_action_before_next_cue,pilot_v0.3
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,only-motor-2,right,3,13,9382218.0,9397609.0,wrist,lr,right,0.06557927963705332,0.00034504584441752417,0.10006066945843313,0.06553543000857852,0.06553543000857852,right,9384203.0,1985.0,-0.8322129251866246,0.8977922048236779,9384750.0,,True,9384203.0,1985.0,False,,,,,,,right,2203.0,True,clean,complete,,pilot_v0.3
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,only-motor-2,left,4,20,9397609.0,9412984.0,wrist,lr,left,0.03450196781612802,0.0001331116032260507,0.10627613182261819,0.03493677236767667,0.03493677236767667,left,9399562.0,1953.0,0.49654907135151327,0.46204710353538525,9399875.0,656.0,True,9399562.0,1953.0,True,right,9400218.0,2609.0,-0.21020434740459207,0.2447063152207201,9400468.0,left,2047.0,True,clean,complete,,pilot_v0.3
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,only-motor-2,up,5,27,9412984.0,9428578.0,wrist,ud,up,-0.1942528023890597,0.00024320193571947257,0.0863287176602273,-0.19308658023932646,-0.19308658023932646,down,9416062.0,3078.0,-0.3089254616074867,0.11467265921842698,9416218.0,,False,,,False,,,,,,,left,3000.0,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.3
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,only-motor-2,down,6,34,9428578.0,9441875.0,wrist,ud,down,-0.19930909920446502,0.00020495037998803645,0.08531745829714624,-0.1991108931201203,-0.1991108931201203,down,9430921.0,2343.0,-0.6792139276285432,0.4799048284240781,9431312.0,,True,9430921.0,2343.0,False,,,,,,,down,2343.0,True,clean,complete,,pilot_v0.3
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,only-motor-2,release,7,40,9441875.0,,pinch,pinch_closure,release,0.7733853261187708,0.00039304472218409936,0.05,0.7742877352139254,0.7742877352139254,release,9444484.0,2609.0,0.3398436850047204,0.43354164111405036,9445484.0,,True,9444484.0,2609.0,False,,,,,,,release,2578.0,True,clean,complete,,pilot_v0.3
