session_id,condition,plan_id,event_name,event_position,emit_trial_number,cue_onset_ms,online_gate_passed,old_lr_class_at_onset,old_ud_class_at_onset,offline_lr_class_at_onset,offline_ud_class_at_onset,offline_neutral_centered_gate_passed,lr_score_at_onset,ud_score_at_onset,old_lr_neutral_lower,old_lr_neutral_upper,old_lr_zero_in_neutral_region,old_ud_neutral_lower,old_ud_neutral_upper,old_ud_zero_in_neutral_region,lr_neutral_centered_sanity_passed,ud_neutral_centered_sanity_passed
pinch_haptic_1back_20260814_104047,dual,dual-1,up,3,15,45463515.0,False,neutral,up,neutral,neutral,True,-0.02736276628421703,0.07284201562517996,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True
pinch_haptic_1back_20260814_104047,dual,dual-1,right,4,20,45475000.0,True,neutral,neutral,neutral,neutral,True,-0.03345004069761513,0.043818512849247926,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True
pinch_haptic_1back_20260814_104047,dual,dual-1,left,5,27,45491984.0,False,neutral,up,neutral,neutral,True,-0.10688298871274461,0.11146320847737595,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True
pinch_haptic_1back_20260814_104047,dual,dual-1,left,6,35,45508406.0,False,neutral,up,neutral,neutral,True,-0.10641900947382181,0.06975165405240474,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True
pinch_haptic_1back_20260814_104606,dual,dual-2,down,2,6,45723031.0,True,neutral,neutral,neutral,neutral,True,0.056516003094751084,0.011309050714920145,-0.12812762996365706,0.06991611492128724,True,-0.10193059756242685,0.07223479686096586,True,True,True
pinch_haptic_1back_20260814_104606,dual,dual-2,right,3,13,45736750.0,True,neutral,neutral,neutral,neutral,True,-0.03358095795267332,0.07215460613902011,-0.12812762996365706,0.06991611492128724,True,-0.10193059756242685,0.07223479686096586,True,True,True
pinch_haptic_1back_20260814_104606,dual,dual-2,left,4,20,45752250.0,True,neutral,neutral,neutral,neutral,True,-0.06603557498280262,0.04077202112295689,-0.12812762996365706,0.06991611492128724,True,-0.10193059756242685,0.07223479686096586,True,True,True
pinch_haptic_1back_20260814_104606,dual,dual-2,up,5,27,45768234.0,True,neutral,neutral,neutral,neutral,True,0.007945045741829707,-0.021370089695770676,-0.12812762996365706,0.06991611492128724,True,-0.10193059756242685,0.07223479686096586,True,True,True
pinch_haptic_1back_20260814_104606,dual,dual-2,down,6,34,45783640.0,True,neutral,neutral,neutral,neutral,True,0.008416474888453967,0.04404240786774333,-0.12812762996365706,0.06991611492128724,True,-0.10193059756242685,0.07223479686096586,True,True,True
pinch_haptic_1back_20260814_104938,dual,dual-3,up,2,7,46010156.0,True,neutral,neutral,neutral,neutral,True,-0.02648310221274573,-0.042124056719132934,-0.20822523178925703,0.054882173286688235,True,-0.17703398996546488,0.031549060442356794,True,True,True
pinch_haptic_1back_20260814_104938,dual,dual-3,down,3,13,46023421.0,True,neutral,neutral,neutral,neutral,True,-0.07024329022615619,-0.042226596375394304,-0.20822523178925703,0.054882173286688235,True,-0.17703398996546488,0.031549060442356794,True,True,True
pinch_haptic_1back_20260814_104938,dual,dual-3,right,5,27,46053796.0,True,neutral,neutral,neutral,neutral,True,-0.03792195328336759,0.0028785982510358115,-0.20822523178925703,0.054882173286688235,True,-0.17703398996546488,0.031549060442356794,True,True,True
pinch_haptic_1back_20260814_104938,dual,dual-3,up,6,34,46069453.0,True,neutral,neutral,neutral,neutral,True,-0.158973996094236,0.0033017430334257303,-0.20822523178925703,0.054882173286688235,True,-0.17703398996546488,0.031549060442356794,True,True,True
pinch_haptic_1back_20260814_105504,dual,dual-4,right,2,7,46259687.0,True,neutral,neutral,neutral,neutral,True,0.017174935933223244,-0.11721224122232154,-0.1855620591573893,0.06535252203977523,True,-0.26174460696440993,-0.07990391937261021,False,True,True
pinch_haptic_1back_20260814_105504,dual,dual-4,down,4,20,46289828.0,False,neutral,up,neutral,neutral,True,-0.019483166165594385,-0.07396034515612573,-0.1855620591573893,0.06535252203977523,True,-0.26174460696440993,-0.07990391937261021,False,True,True
pinch_haptic_1back_20260814_105504,dual,dual-4,right,6,34,46318453.0,False,neutral,up,neutral,neutral,True,-0.04461585331713099,-0.072740397860033,-0.1855620591573893,0.06535252203977523,True,-0.26174460696440993,-0.07990391937261021,False,True,True
pinch_haptic_1back_20260814_105854,dual,dual-5,left,3,15,46526406.0,False,right,up,neutral,neutral,True,-0.03695316389939543,-0.009751006739995849,-0.011420502580022501,0.12216788465505121,True,-0.21836216103877198,-0.030415677454928028,False,True,True
pinch_haptic_1back_20260814_105854,dual,dual-5,up,4,22,46542171.0,False,right,neutral,right,neutral,False,-0.1021643431763585,-0.08342898965108383,-0.011420502580022501,0.12216788465505121,True,-0.21836216103877198,-0.030415677454928028,False,True,True
pinch_haptic_1back_20260814_105854,dual,dual-5,down,5,28,46557750.0,False,right,neutral,right,neutral,False,-0.10895578967516398,-0.15551101209380533,-0.011420502580022501,0.12216788465505121,True,-0.21836216103877198,-0.030415677454928028,False,True,True
pinch_haptic_1back_20260814_110249,dual,dual-6,left,2,6,46716312.0,True,neutral,neutral,neutral,neutral,True,-0.02902981022765597,0.01754209291911059,-0.1577357234005204,0.09698505241980443,True,-0.16333964028934203,0.032279963503987236,True,True,True
pinch_haptic_1back_20260814_110249,dual,dual-6,left,3,13,46729796.0,True,neutral,neutral,neutral,neutral,True,-0.062576712973724,-0.11141362982717959,-0.1577357234005204,0.09698505241980443,True,-0.16333964028934203,0.032279963503987236,True,True,True
pinch_haptic_1back_20260814_110249,dual,dual-6,right,4,20,46746109.0,True,neutral,neutral,neutral,neutral,True,-0.11303945414103789,-0.10917960574379768,-0.1577357234005204,0.09698505241980443,True,-0.16333964028934203,0.032279963503987236,True,True,True
pinch_haptic_1back_20260814_110249,dual,dual-6,up,5,27,46762312.0,True,neutral,neutral,neutral,neutral,True,-0.06538872620783542,-0.14596287998936813,-0.1577357234005204,0.09698505241980443,True,-0.16333964028934203,0.032279963503987236,True,True,True
pinch_haptic_1back_20260814_110249,dual,dual-6,down,6,34,46778765.0,True,neutral,neutral,neutral,neutral,True,-0.12728199873974444,-0.16281451022946428,-0.1577357234005204,0.09698505241980443,True,-0.16333964028934203,0.032279963503987236,True,True,True
pinch_haptic_1back_20260814_111545,matrix-only,only-matrix-1,up,3,17,47518453.0,False,neutral,up,neutral,neutral,True,-0.0812648834047816,0.008442578767647445,-0.15569459363061272,0.049915935845434925,True,-0.22215072870264552,-0.025791273751725075,False,True,True
pinch_haptic_1back_20260814_111545,matrix-only,only-matrix-1,right,4,24,47534750.0,False,neutral,up,neutral,neutral,True,-0.13081826624527146,0.03556518919719742,-0.15569459363061272,0.049915935845434925,True,-0.22215072870264552,-0.025791273751725075,False,True,True
pinch_haptic_1back_20260814_111545,matrix-only,only-matrix-1,left,5,31,47549625.0,False,right,up,neutral,neutral,True,-0.19635063135296382,0.009962270119322436,-0.15569459363061272,0.049915935845434925,True,-0.22215072870264552,-0.025791273751725075,False,True,True
pinch_haptic_1back_20260814_111545,matrix-only,only-matrix-1,left,6,38,47565015.0,False,right,neutral,right,neutral,False,-0.26294068080506283,-0.09948783547243102,-0.15569459363061272,0.049915935845434925,True,-0.22215072870264552,-0.025791273751725075,False,True,True
pinch_haptic_1back_20260814_113122,matrix-only,only-matrix-2,down,2,8,570187.0,False,neutral,up,neutral,neutral,True,0.015549603153915391,-0.03710072559130386,-0.19453327417983193,0.10296527682126447,True,-0.26771647434865775,-0.04259150660376047,False,True,True
pinch_haptic_1back_20260814_113122,matrix-only,only-matrix-2,right,3,15,584546.0,False,neutral,up,neutral,neutral,True,0.02339643887767185,0.012962642010974221,-0.19453327417983193,0.10296527682126447,True,-0.26771647434865775,-0.04259150660376047,False,True,True
pinch_haptic_1back_20260814_113122,matrix-only,only-matrix-2,left,4,20,594640.0,True,neutral,neutral,neutral,neutral,True,0.008992849828873111,-0.07550926648157212,-0.19453327417983193,0.10296527682126447,True,-0.26771647434865775,-0.04259150660376047,False,True,True
pinch_haptic_1back_20260814_113122,matrix-only,only-matrix-2,up,5,27,610859.0,True,neutral,neutral,neutral,neutral,True,-0.07017346463950233,-0.051105160825541125,-0.19453327417983193,0.10296527682126447,True,-0.26771647434865775,-0.04259150660376047,False,True,True
pinch_haptic_1back_20260814_113122,matrix-only,only-matrix-2,down,6,34,626921.0,True,neutral,neutral,neutral,neutral,True,-0.04215892922586578,-0.15839773059743412,-0.19453327417983193,0.10296527682126447,True,-0.26771647434865775,-0.04259150660376047,False,True,True
pinch_haptic_1back_20260814_113447,matrix-only,only-matrix-3,up,2,7,777078.0,False,neutral,up,neutral,neutral,True,-0.042563110206807614,-0.009311681936374811,-0.22234495659377035,0.07200356280549053,True,-0.20937160088065065,-0.03002477103285324,False,True,True
pinch_haptic_1back_20260814_113447,matrix-only,only-matrix-3,down,3,13,788953.0,True,neutral,neutral,neutral,neutral,True,-0.0810383363678126,-0.14217160779412868,-0.22234495659377035,0.07200356280549053,True,-0.20937160088065065,-0.03002477103285324,False,True,True
pinch_haptic_1back_20260814_113447,matrix-only,only-matrix-3,right,5,27,820875.0,False,neutral,up,neutral,neutral,True,-0.04218931037373995,-0.014066794337174638,-0.22234495659377035,0.07200356280549053,True,-0.20937160088065065,-0.03002477103285324,False,True,True
pinch_haptic_1back_20260814_113447,matrix-only,only-matrix-3,up,6,34,835984.0,True,neutral,neutral,neutral,neutral,True,-0.04511648846789325,-0.04190525242796038,-0.22234495659377035,0.07200356280549053,True,-0.20937160088065065,-0.03002477103285324,False,True,True
pinch_haptic_1back_20260814_113756,matrix-only,only-matrix-4,right,2,7,966890.0,True,neutral,neutral,neutral,neutral,True,0.009959454458430023,-0.01588114633087149,-0.06985825668765533,0.21386783970692003,True,-0.17453963304864425,0.009831424971460473,True,True,True
pinch_haptic_1back_20260814_113756,matrix-only,only-matrix-4,down,4,20,995906.0,True,neutral,neutral,neutral,neutral,True,0.045026931492194,-0.018673988206313986,-0.06985825668765533,0.21386783970692003,True,-0.17453963304864425,0.009831424971460473,True,True,True
pinch_haptic_1back_20260814_113756,matrix-only,only-matrix-4,right,6,34,1027031.0,True,neutral,neutral,neutral,neutral,True,-0.03411760817885069,-0.00489034029553902,-0.06985825668765533,0.21386783970692003,True,-0.17453963304864425,0.009831424971460473,True,True,True
pinch_haptic_1back_20260814_114109,matrix-only,only-matrix-5,left,3,13,1161187.0,True,neutral,neutral,neutral,neutral,True,-0.037546088833981126,-0.03864647583859503,-0.16377187881439634,0.13628815087451365,True,-0.19889873487020215,0.011571164088355124,True,True,True
pinch_haptic_1back_20260814_114109,matrix-only,only-matrix-5,up,4,20,1177468.0,False,right,neutral,neutral,neutral,True,-0.21482252227094098,-0.04313901454548033,-0.16377187881439634,0.13628815087451365,True,-0.19889873487020215,0.011571164088355124,True,True,True
