session_id,participant_id,condition,plan_id,event_name,event_position,emit_trial_number,cue_onset_ms,next_cue_onset_ms,response_source,analysis_axis,expected_excursion_direction,baseline_center,baseline_mad,excursion_threshold,pre_cue_value,value_at_onset,first_excursion_direction,first_excursion_onset_ms,first_excursion_rt_ms,first_excursion_peak_value,first_excursion_peak_delta,first_excursion_peak_ms,first_excursion_duration_ms,expected_excursion_detected,expected_excursion_onset_ms,expected_excursion_rt_ms,reversal_detected,reversal_direction,reversal_onset_ms,reversal_rt_ms,overshoot_peak_value,overshoot_peak_delta,overshoot_peak_ms,first_stable_direction,first_stable_rt_ms,stable_matches_first_excursion,response_quality,cycle_quality,quality_reason,detector_version
pinch_haptic_1back_20260814_104938,,dual,dual-3,right,5,27,46053796.0,46069453.0,wrist,lr,right,-0.0381489135740968,0.0002287979184679781,0.07999794522321091,-0.03835354742945257,-0.03792195328336759,right,46054906.0,1110.0,-0.7881783714523463,0.7500294578782495,46055500.0,,True,46054906.0,1110.0,False,,,,,,,right,1235.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104938,,dual,dual-3,up,6,34,46069453.0,46083531.0,wrist,ud,up,0.0036801025801518686,0.00012784168364279175,0.054243170000932706,0.0033659595051272542,0.0033017430334257303,up,46070671.0,1218.0,0.12935200367273458,0.12567190109258272,46070765.0,125.0,True,46070671.0,1218.0,True,down,46070796.0,1343.0,-0.28503227774816736,0.28871238032831925,46071125.0,down,1437.0,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.2
pinch_haptic_1back_20260814_105504,,dual,dual-4,right,2,7,46259687.0,46273078.0,wrist,lr,right,0.017464145740409078,0.0005079415119302842,0.06812441087254496,0.0173447455183112,0.017174935933223244,right,46260609.0,922.0,-0.6705375279596137,0.6880016737000229,46261140.0,,True,46260609.0,922.0,False,,,,,,,right,1109.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_105504,,dual,dual-4,slip,3,13,46273078.0,46289828.0,pinch,pinch_closure,pinch,0.4311208028919828,0.00028195682868464855,0.08622416057839656,0.4306266204324488,0.43021000174790025,pinch,46274265.0,1187.0,0.9824743994480869,0.551353596556104,46274656.0,,True,46274265.0,1187.0,False,,,,,,,pinch,1140.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_105504,,dual,dual-4,down,4,20,46289828.0,46303234.0,wrist,ud,down,-0.07436117513851821,0.00019732997728959256,0.04132094492460153,-0.07409698171046272,-0.07396034515612573,down,46291296.0,1468.0,-0.47141491402324553,0.39705373888472734,46291656.0,,True,46291296.0,1468.0,False,,,,,,,down,1562.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_105504,,dual,dual-4,slip,5,27,46303234.0,46318453.0,pinch,pinch_closure,pinch,0.5179503357424544,0.0006583830137917857,0.09640993285150912,0.5162894602009316,0.5157793866810048,pinch,46305187.0,1953.0,1.0055995262159962,0.4876491904735418,46305609.0,,True,46305187.0,1953.0,False,,,,,,,pinch,1906.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_105504,,dual,dual-4,right,6,34,46318453.0,46332734.0,wrist,lr,right,-0.04503459106816446,0.00030353546667774567,0.08062415823425967,-0.04516912597976887,-0.04461585331713099,right,46319656.0,1203.0,-0.6777971288906746,0.6327625378225101,46320062.0,,True,46319656.0,1203.0,False,,,,,,,right,1281.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_105854,,dual,dual-5,slip,2,7,46510078.0,46526406.0,pinch,pinch_closure,pinch,0.5120577924355558,0.0005282427455355343,0.09758844151288884,0.5110625475749548,0.5110374442314665,pinch,46511390.0,1312.0,0.9534810803403249,0.44142328790476903,46511859.0,,True,46511390.0,1312.0,False,,,,,,,pinch,1265.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_105854,,dual,dual-5,left,3,15,46526406.0,46542171.0,wrist,lr,left,-0.03741005598538184,0.0001779007428002466,0.03,-0.03717888757681608,-0.03695316389939543,left,46527421.0,1015.0,0.2840086132064766,0.3214186691918584,46527890.0,1329.0,True,46527421.0,1015.0,True,right,46528750.0,2344.0,-0.11538915594380478,0.07797909995842293,46528937.0,left,1219.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_105854,,dual,dual-5,up,4,22,46542171.0,46557750.0,wrist,ud,up,-0.08274173525636583,0.0001399427996471858,0.05431939106318449,-0.08326909546119504,-0.08342898965108383,up,46543359.0,1188.0,0.13802132367398748,0.2207630589303533,46543562.0,219.0,True,46543359.0,1188.0,True,down,46543578.0,1407.0,-0.19626678604753894,0.11352505079117312,46543750.0,right,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.2
